City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Parana,AR,87.01,clear sky,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
644,Santo Antonio Do Ica,BR,84.25,broken clouds,-3.1022,-67.9397,Hotel Fogaça
648,Bouna,CI,79.48,clear sky,9.2667,-3.0,Hotel Reserve
653,Miandrivazo,MG,79.77,moderate rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
656,Tual,ID,83.46,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
658,Iralaya,HN,79.48,clear sky,15.0,-83.2333,Iglesia morava renovada
663,Sao Domingos,BR,77.05,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
678,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
679,Savannah Bight,HN,77.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
684,Acuitzio,MX,81.1,broken clouds,20.345,-101.9771,Auto Hotel A Fonte
685,Katherine,AU,75.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
689,Siocon,PH,76.64,overcast clouds,7.7061,122.1353,ABS Hotel
692,Jalingo,NG,77.23,clear sky,8.8833,11.3667,Debright Motel
697,Fare,PF,80.33,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
698,Palmas,BR,80.6,heavy intensity rain,-10.2128,-48.3603,Hotel Lago da Palma
699,Ternate,ID,79.09,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
701,Weligama,LK,75.29,overcast clouds,5.9667,80.4167,Weligama Bay Resort
